data,PLAS3,INEP4,spread_observado,rho,var_mr,var_rw,mr_filtrado,rw_filtrado,std_mr,zscore_mr,sinal,prob_quebra,sinal_finrl
2025-03-24 00:00:00+00:00,6.119999885559082,1.409999966621399,5.007356508516794,0.999,0.1510087718533082,1e-06,-0.8022908092620242,5.809653070319315,0.3936758942657848,-2.0379475120220816,1,0.5869190096855164,-1
2025-03-25 00:00:00+00:00,6.119999885559082,1.440000057220459,4.983683173122541,0.999,0.1459942313217199,1e-06,-0.825952335100037,5.809652253927894,0.3872559444820808,-2.1328331995127208,1,0.5937656164169312,1
2025-03-26 00:00:00+00:00,6.050000190734863,1.4199999570846558,4.929465733250858,0.999,0.1455412078896232,1e-06,-0.8801468992359138,5.8096504116850936,0.3866718799015203,-2.276211291754845,1,0.6001872420310974,1
2025-03-27 00:00:00+00:00,6.050000190734863,1.4199999570846558,4.929465733250858,-0.999,1e-06,0.0660503466822338,0.7105555530679071,4.221062898525865,0.0567142019659042,12.528705834476575,0,0.6094087958335876,1
2025-03-28 00:00:00+00:00,6.050000190734863,1.440000057220459,4.9136834782983225,0.999,0.7104406503965978,1e-06,0.6926252939047448,4.221060608177926,0.8448892222142917,0.8197823758356243,0,0.6062944531440735,0
2025-03-31 00:00:00+00:00,6.050000190734863,1.409999966621399,4.937356813692575,0.999,0.0255603778508071,0.0389191032440581,0.7015971526393974,4.235721992822344,0.2105554473222257,3.332125392917054,-1,0.6079444289207458,-1
2025-04-01 00:00:00+00:00,6.050000190734863,1.4199999570846558,4.929465733250858,0.999,1.0406785998721393,1e-06,0.6937449765862147,4.235721443758187,1.0293557679791934,0.673960352841038,-1,0.6087945699691772,-1
2025-04-02 00:00:00+00:00,5.800000190734863,1.3600000143051147,4.726812215901163,0.999,0.520874612379449,1e-06,0.4911372056247264,4.235713768669379,0.7346906199189774,0.6684952717633575,-1,0.6078904867172241,-1
2025-04-03 00:00:00+00:00,6.0,1.3700000047683716,4.918920944724583,0.999,1.644506900263348,1e-06,0.6831931500201455,4.235716086781648,1.2897300542929018,0.5297179419415081,-1,0.605427622795105,-1
2025-04-04 00:00:00+00:00,6.0,1.340000033378601,4.942594186049736,0.999,1.2845538853032523,1e-06,0.7068758270422154,4.235716462291951,1.1416880464047083,0.619149713679003,-1,0.6057980060577393,-1
2025-04-07 00:00:00+00:00,6.0,1.3600000143051147,4.9268120251663,-0.999,1e-06,0.0622315106458482,-0.3238091154642205,5.249605302936923,0.0925301583047859,-3.499498124683011,0,0.6043714880943298,-1
2025-04-08 00:00:00+00:00,6.0,1.3700000047683716,4.918920944724583,0.999,0.6397621237796787,1e-06,-0.3306823097850745,5.249604379426536,0.8052757910732926,-0.4106447920709656,0,0.6065093874931335,1
2025-04-09 00:00:00+00:00,6.0,1.309999942779541,4.966267521443989,0.999,0.7018912616171635,1e-06,-0.2833441985458336,5.249605023607322,0.8429704987087401,-0.3361258774534335,0,0.6066686511039734,1
2025-04-10 00:00:00+00:00,6.0,1.3200000524520874,4.958376346933171,0.999,0.6677344813561545,1e-06,-0.291227336319746,5.249604906099295,0.8224618413206991,-0.3540922164268396,0,0.6087457537651062,1
2025-04-11 00:00:00+00:00,6.199999809265137,1.340000033378601,5.142593995314873,0.999,0.9617506723015292,1e-06,-0.1070318683121308,5.249606743618907,0.9851196255953868,-0.1086486001610646,0,0.6101869940757751,1
2025-04-14 00:00:00+00:00,6.199999809265137,1.3300000429153442,5.15048507575659,0.999,0.6842435737256383,1e-06,-0.0991229175083985,5.249606853191536,0.8324389304911155,-0.1190753025569321,0,0.6157821416854858,1
2025-04-15 00:00:00+00:00,6.199999809265137,1.3799999952316284,5.111029673548002,0.999,0.7009101124539387,1e-06,-0.1385709958255482,5.249606310903967,0.8423907122038895,-0.1644972977717362,0,0.6218334436416626,1
2025-04-16 00:00:00+00:00,6.150000095367432,1.350000023841858,5.08470320097545,0.999,0.6725842671031379,1e-06,-0.1648987971968664,5.249605932665903,0.8254073332621696,-0.1997786917462369,0,0.6254496574401855,1
2025-04-17 00:00:00+00:00,6.150000095367432,1.4500000476837158,5.005792302489174,0.999,0.6732027946471222,1e-06,-0.2438007578354332,5.24960480361394,0.8257825338584274,-0.2952360310847051,0,0.6277741193771362,1
2025-04-22 00:00:00+00:00,6.150000095367432,1.4500000476837158,5.005792302489174,0.999,0.6190649262681172,1e-06,-0.2438124558912372,5.249604799646065,0.7923256421126114,-0.3077174875233746,0,0.6303814053535461,1
2025-04-23 00:00:00+00:00,6.5,1.5399999618530271,5.284772483146282,0.999,1.2703877190039592,1e-06,0.0351436362818921,5.249606909287874,1.1309746795051263,0.031073760464089,0,0.6315642595291138,1
2025-04-24 00:00:00+00:00,6.5,1.5,5.316336804913153,0.999,0.4900968876491577,1e-06,0.0667228259690117,5.2496075295148,0.7062675691292798,0.0944724476748533,0,0.6316825151443481,1
2025-04-25 00:00:00+00:00,6.5,1.440000057220459,5.363683287563459,0.999,0.4886326804777458,1e-06,0.1140651243782737,5.249608462610669,0.7052309350626572,0.1617415214041049,0,0.6316313743591309,1
2025-04-28 00:00:00+00:00,6.5,1.3799999952316284,5.411029864282865,0.999,0.4590731798284043,1e-06,0.1614100714022118,5.249609456927451,0.6839533385751873,0.2359957358179748,0,0.6291850805282593,1
2025-04-29 00:00:00+00:00,6.650000095367432,1.3600000143051147,5.576812120533732,0.999,0.506551124247218,1e-06,0.3271667642614498,5.249612607702697,0.7178238753456962,0.4557758184121277,0,0.6199585199356079,1
2025-04-30 00:00:00+00:00,5.960000038146973,1.3799999952316284,4.871029902429838,0.999,6.474445842983916,1e-06,-0.3785707618038205,5.249611559381191,2.546206365640401,-0.1486803139417199,0,0.6145063638687134,0
2025-05-02 00:00:00+00:00,5.960000038146973,1.840000033378601,4.508039825834427,-0.999,1e-06,0.0674883586634611,0.1883433382308915,4.320792804142236,0.0759578651042546,2.479576512220085,-1,0.6136452555656433,0
2025-05-05 00:00:00+00:00,5.960000038146973,1.690000057220459,4.626406126529291,-0.999,1e-06,0.0668131406479221,-0.1250389692668543,4.750896449577932,0.0654871775231714,-1.9093656803671464,0,0.6141684651374817,-1
2025-05-06 00:00:00+00:00,5.960000038146973,1.909999966621399,4.452802262742402,-0.999,1e-06,0.0668008622109904,0.0818980695497673,4.371407272509111,0.0584080010834989,1.4021721002348193,-1,0.6072441339492798,1
2025-05-07 00:00:00+00:00,5.960000038146973,1.850000023841858,4.500148745392709,-0.999,1e-06,0.0668709957071168,-0.0640609378575358,4.56394863838167,0.0532177901348565,-1.2037504318612684,0,0.6014039516448975,0
2025-05-08 00:00:00+00:00,5.849999904632568,2.0,4.27178231118344,-0.999,1e-06,0.0659892676701426,0.0380380278836301,4.234204028816119,0.049152223609794,0.773882137776789,0,0.5953929424285889,1
2025-05-09 00:00:00+00:00,6.199999809265137,2.0,4.621782215816008,0.999,2.7496520630194348,1e-06,0.3875532715343641,4.234216231667293,1.658991646788249,0.2336077293002975,0,0.5924481749534607,0
2025-05-12 00:00:00+00:00,6.199999809265137,2.0299999713897705,4.598108974490854,0.999,1.8641092199427367,1e-06,0.36389403491702,4.234216187916395,1.366276489554012,0.2663399668362912,0,0.5890783667564392,0
2025-05-13 00:00:00+00:00,5.989999771118164,1.899999976158142,4.490693076155312,0.999,1.9306979560117865,1e-06,0.2564826266395681,4.234215993734593,1.3904320127819678,0.1844625442177494,0,0.5884203910827637,0
2025-05-14 00:00:00+00:00,5.949999809265137,1.919999957084656,4.434910953418848,0.999,1.7508172853410846,1e-06,0.2006982421558396,4.234215882628563,1.324168233617539,0.1515655164204818,0,0.5879898071289062,0
2025-05-15 00:00:00+00:00,6.0,1.809999942779541,4.571713123081706,0.999,2.04126541771617,1e-06,0.3374902944279705,4.2342161178056426,1.429640040066107,0.2360666216457989,0,0.5862824320793152,0
2025-05-16 00:00:00+00:00,6.0,1.7000000476837158,4.658515007940601,0.999,1.3190803606144164,1e-06,0.4242920530095205,4.234216349357625,1.1496462865506156,0.3690631266096297,0,0.5855386257171631,0
2025-05-19 00:00:00+00:00,6.070000171661377,1.649999976158142,4.767970675879665,-0.999,1e-06,0.0656286005799141,-0.3594018936066625,5.126109953661939,0.0475321160303932,-7.561243294467508,1,0.5859028100967407,0
2025-05-20 00:00:00+00:00,6.070000171661377,1.6799999475479126,4.744297434554512,-0.999,1e-06,0.0651748866170803,0.3141755516899336,4.431118016987577,0.0445310499048143,7.05520198516513,0,0.5854684114456177,1
2025-05-21 00:00:00+00:00,5.800000190734863,1.659999966621399,4.4900796145114334,0.999,0.307406569035429,1e-06,0.0591246643111602,4.431037815488415,0.5563966309109325,0.106263519630522,0,0.5866597294807434,-1
2025-05-22 00:00:00+00:00,5.800000190734863,1.659999966621399,4.4900796145114334,-0.999,1e-06,0.0657385979469975,-0.0523242783447006,4.542244748375667,0.0438922130613666,-1.192108456038545,0,0.5867072939872742,-1
2025-05-23 00:00:00+00:00,5.800000190734863,1.649999976158142,4.497970694953152,-0.999,1e-06,0.0657252741830351,0.0472338597098635,4.450868015938419,0.0415122043007478,1.1378306814946149,0,0.5878839492797852,1
2025-05-26 00:00:00+00:00,6.0,1.6699999570846558,4.682188343334853,-0.999,1e-06,0.0658038404352916,-0.0340568736674082,4.715862999057754,0.039482602482727,-0.8625792507550013,0,0.5881645679473877,0
2025-05-27 00:00:00+00:00,6.0,1.6799999475479126,4.674297262893135,-0.999,1e-06,0.0657516458791785,0.0307677575014511,4.64363425825924,0.0377220023361846,0.8156448649582226,0,0.5896901488304138,1
2025-05-28 00:00:00+00:00,5.800000190734863,1.7000000476837158,4.458515198675464,0.999,0.1365068251368135,1e-06,-0.1848064683591562,4.643479563101859,0.3716459830919995,-0.4972648078195645,0,0.5907137393951416,0
2025-05-29 00:00:00+00:00,5.800000190734863,1.6299999952316284,4.513752855836588,0.999,0.0084430683467339,0.0575867151269376,-0.1775421984411814,4.691212168336475,0.1318912991302604,-1.3461251774147325,1,0.5924943089485168,1
2025-05-30 00:00:00+00:00,5.800000190734863,1.6200000047683716,4.521643936278305,-0.999,1e-06,0.0660500060677133,0.1165813918672563,4.405402766483396,0.0761986707043909,1.52996621580878,0,0.5935443639755249,1
2025-06-02 00:00:00+00:00,5.800000190734863,1.6200000047683716,4.521643936278305,-0.999,1e-06,0.066050796162795,-0.0863243568109808,4.607707935541279,0.065545539453531,-1.317013446386859,1,0.5941465497016907,0
